ADM_RATE,AGE_ENTRY,AVGFACSAL,CITY,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,HBCU,HSI,ICLEVEL,INSTNM,INSTURL,MD_EARN_WNE_P10,NANTI,OPEID,PCIP13,PCIP14,PCIP27,PCIP52,PCT_ASIAN,PCT_BLACK,PCT_HISPANIC,PCT_WHITE,PCTPELL,PFTFAC,PREDDEG,RELAFFIL,SAT_AVG,SCH_DEG,STABBR,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_2MOR,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,LATITUDE,LONGITUDE,date
0.716,20.283741368,8779,Normal,1,21924,NULL,0.5640301318,0.3658280922,31000,1,0,1,Alabama A & M University,www.aamu.edu/,39059,0,00100200,0.0391,0.121,0.0089,0.1637,1.48000001907348,47.9799995422363,3.78999996185302,46.8400001525878,0.6853,0.6833,3,NULL,954,3,AL,5098,0.406,0.594,0.0108,0.0027,0.0014,0.8978,0.0114,0.001,0.0086,0.0479,0.0184,34.783368,-86.568502,2024-06-13
0.8854,23.60797466,11590,Birmingham,1,26248,539858544,0.6390907397,0.341223671,22300,0,0,1,University of Alabama at Birmingham,https://www.uab.edu/,50907,0,00105200,0.0667,0.0559,0.0111,0.2159,1.10000002384185,27.7600002288818,2.02999997138977,69.0199966430664,0.3253,0.7564,3,NULL,1266,3,AL,13284,0.379,0.621,0.0483,0.0021,0.0767,0.2458,0.0669,0.0004,0.0233,0.0068,0.5297,33.505697,-86.799345,2024-06-13
0.7367,22.727919632,9820,Huntsville,1,24869,75837207,0.4763499372,0.3101321586,20705,0,0,1,University of Alabama in Huntsville,www.uah.edu/,56901,0,00105500,0.0218,0.3028,0.0091,0.193,1.41999995708465,18.9799995422363,2.54999995231628,76.3799972534179,0.2377,0.6538,3,NULL,1300,3,AL,7358,0.5953,0.4047,0.0446,0.008,0.0357,0.0871,0.061,0.0012,0.0166,0.0261,0.7196,34.724557,-86.640449,2024-06-13
0.9799,20.130990415,7701,Montgomery,1,21938,111315175,0.6134185304,0.3434343434,31000,1,0,1,Alabama State University,www.alasu.edu/,34018,0,00100500,0.0589,0.0138,0.0138,0.1513,1.40999996662139,52.3199996948242,4.09000015258789,42.6899986267089,0.7205,0.6812,3,NULL,955,3,AL,3495,0.3505,0.6495,0.0132,0.0017,0.002,0.9259,0.0129,0.0014,0.0166,0.0112,0.0152,32.364317,-86.295677,2024-06-13
0.789,21.137701396,10509,Tuscaloosa,1,31050,939393269,0.6152524168,0.2257126887,22750,0,0,1,The University of Alabama,www.ua.edu/,56118,0,00105100,0.0262,0.1198,0.0088,0.2916,1.20000004768371,21.0599994659423,2.41000008583068,75.3499984741211,0.1712,0.7753,3,NULL,1244,3,AL,30725,0.4385,0.5615,0.0356,0.0037,0.0137,0.105,0.0549,0.0008,0.0127,0.006,0.7676,33.211875,-87.545978,2024-06-13
NULL,23.071028037,6523,Alexander City,1,13930,433325,0.6037383178,0.5496760259,9766,0,0,2,Central Alabama Community College,www.cacc.edu/,33095,0,00100700,0,0,0,0.0886,0.2199999988079,26.8999996185302,1.00999999046325,71.5100021362304,0.2982,0.3824,2,NULL,NULL,2,AL,940,0.3915,0.6085,0.034,0.0021,0.0021,0.1947,0.0287,0,0.0064,0.0074,0.7245,32.92478,-85.945266,2024-06-13
NULL,30.384765625,8834,Athens,1,NULL,4496491,0.705078125,0.4774964838,18051,0,0,1,Athens State University,www.athens.edu/,45311,0,00100800,0.2754,0,0.0174,0.3957,0.64999997615814,12.2600002288818,2.40000009536743,83.8899993896484,0.4036,0.4554,3,NULL,NULL,3,AL,2511,0.2951,0.7049,0.0307,0.0131,0.0056,0.1243,0.0426,0.0004,0.0008,0.0191,0.7634,34.806793,-86.964698,2024-06-13
0.968,22.199804114,7885,Montgomery,1,20621,52113787,0.6929480901,0.38189609,25000,0,0,1,Auburn University at Montgomery,www.aum.edu/,43743,0,00831000,0.0634,0,0.0069,0.1476,0.91000002622604,37.2099990844726,1.62000000476837,59.9700012207031,0.4821,0.6901,3,NULL,1069,3,AL,3742,0.3314,0.6686,0.0371,0.004,0.0283,0.4487,0.0131,0.0011,0.0484,0.0064,0.4129,32.36736,-86.177544,2024-06-13
0.7118,20.516795866,11093,Auburn,1,32678,784621493,0.531504671,0.1726471191,21000,0,0,1,Auburn University,www.auburn.edu/,61042,0,00100900,0.0457,0.1897,0.0068,0.2377,1.64999997615814,19.7999992370605,2.89000010490417,75.9000015258789,0.1301,0.8436,3,NULL,NULL,3,AL,24782,0.5047,0.4953,0.0281,0.0027,0.0238,0.0461,0.0382,0.0005,0.0396,0.0028,0.8181,32.599378,-85.488258,2024-06-13
0.6591,19.64479638,7636,Birmingham,2,33920,49403369,0.520361991,0.1724941725,25000,0,0,1,Birmingham-Southern College,www.bsc.edu/,55236,0,00101200,0.0536,0.0077,0.0421,0.2759,1.38999998569488,17.4099998474121,2.46000003814697,78.9000015258789,0.2152,0.8295,3,71,1214,3,AL,1048,0.4895,0.5105,0.0095,0.0038,0.0258,0.1603,0.0573,0,0.0143,0,0.729,33.513774,-86.850552,2024-06-13
NULL,24.81025641,6452,Phenix City,1,9320,49698,0.611965812,0.4302670623,10500,0,0,2,Chattahoochee Valley Community College,https://www.cv.edu/,32075,0,01218200,0,0,0,0.0211,0.85000002384185,38.6800003051757,2.85999989509582,57.5299987792968,0.4568,0.3053,1,NULL,NULL,2,AL,1107,0.3406,0.6594,0.0614,0.0018,0.0063,0.4833,0.0641,0.0027,0.0036,0.0361,0.3406,32.42391,-85.031485,2024-06-13
NULL,23.948815166,8764,Enterprise,1,9454,17187,0.5165876777,0.4218916047,7499,0,0,2,Enterprise State Community College,www.escc.edu/,40851,0,00101500,0,0,0,0.1106,1.20000004768371,21.0499992370605,3.25999999046325,74.0800018310547,0.3709,0.4672,2,NULL,NULL,2,AL,1336,0.5277,0.4723,0.0539,0.0075,0.0075,0.1991,0.0584,0.0015,0.0067,0.0457,0.6198,31.297496,-85.836956,2024-06-13
NULL,23.501064801,7345,Bay Minette,1,12881,NULL,0.6531791908,0.4351196495,11000,0,0,2,Coastal Alabama Community College,www.coastalalabama.edu/,34057,0,00106000,0,0,0,0.0384,0.76999998092651,20.2999992370605,1.55999994277954,76.1699981689453,0.3142,0.3761,2,NULL,NULL,2,AL,5217,0.3592,0.6408,0.0447,0.0155,0.0073,0.2375,0.0339,0.0004,0.0046,0.0165,0.6396,30.851343,-87.778193,2024-06-13
0.646,28.260475651,6271,Montgomery,2,36457,17838794,0.6387315968,0.4300319489,23000,0,0,1,Faulkner University,www.faulkner.edu/,41523,0,00100300,0.0256,0,0.0128,0.4987,1.04999995231628,31.8899993896484,1.80999994277954,64.8799972534179,0.461,0.5511,3,74,1042,3,AL,1696,0.4287,0.5713,0.0265,0.0018,0.0118,0.4133,0.0318,0.0029,0.0313,0.0206,0.4599,32.384181,-86.21641,2024-06-13
NULL,23.64507772,6832,Gadsden,1,10619,3610956,0.6180606958,0.5149544863,PrivacySuppressed,1,0,2,Gadsden State Community College,www.gadsdenstate.edu/,31346,0,00101700,0,0,0,0.0429,0.44999998807907,16.829999923706,2.17000007629394,80.3899993896484,0.4522,0.4941,2,NULL,NULL,1,AL,3513,0.3746,0.6254,0.0333,0.0026,0.0043,0.2024,0.0603,0.0014,0.008,0.0065,0.6812,33.994001,-85.991438,2024-06-13
